countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
AT,ATPG70332082,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166180
AT,ATPG70332092,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166181
AT,ATPG70332102,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166182
AT,ATPG70333012,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166183
AT,ATPG70333022,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166184
AT,ATPG70333032,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166185
AT,ATPG70333062,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166186
AT,ATPG70333072,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166187
AT,ATPG70333082,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166188
AT,ATPG70333092,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166189
AT,ATPG70335072,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166190
AT,ATPG70335082,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166191
AT,ATPG70335092,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166192
AT,ATPG70335112,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166193
AT,ATPG70335122,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166194
AT,ATPG70335172,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166195
AT,ATPG70335182,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166196
AT,ATPG70337042,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166197
AT,ATPG71501012,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166198
AT,ATPG71501022,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166199
