countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_21087-64-9,Metribuzin,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139620
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_21725-46-2,Cyanazine,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139621
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_218-01-9,Chrysene,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,5,1,0.002,1,0.002,0,0.004,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139622
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_26259-45-0,Secbumeton,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139623
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_2921-88-2,Chlorpyrifos,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139624
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_309-00-2,Aldrin,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139625
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_319-84-6,Alpha-HCH,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139626
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_319-85-7,Beta-HCH,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139627
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_319-86-8,Delta-HCH,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139628
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_33213-65-9,Beta-Endosulfan,W,ug/L,2014,2014-02-24--2014-11-17,0.001,6,6,1,0.001,1,0.001,1,0.001,1,0.001,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139629
